Date,Open,High,Low,Close,Volume,Adj Close
1984-09-10,46.50,46.50,46.13,46.25,140900,10.67
1984-09-11,46.50,47.00,46.50,46.63,95000,10.76
1984-09-12,46.88,46.88,45.50,45.75,114500,10.56
1984-09-13,45.75,45.88,45.63,45.88,140900,10.59
1984-09-14,46.75,47.38,46.75,47.25,234000,10.90
1984-09-17,47.50,48.13,47.38,48.13,176400,11.11
1984-09-18,48.13,48.50,47.75,48.25,440900,11.13
1984-09-19,48.38,48.50,48.00,48.00,82300,11.08
1984-09-20,48.13,48.38,48.00,48.25,117600,11.13
1984-09-21,48.25,48.25,47.88,47.88,105800,11.05
1984-09-24,47.88,48.13,47.75,47.88,81400,11.05
1984-09-25,48.00,48.25,47.75,48.25,73200,11.13
1984-09-26,48.25,48.50,48.13,48.13,60000,11.11
1984-09-27,48.38,48.75,48.25,48.63,59800,11.22
1984-09-28,48.50,48.75,48.50,48.75,105600,11.25
1984-10-01,48.75,48.75,48.50,48.63,42500,11.22
1984-10-02,48.63,48.75,45.63,48.63,150000,11.22
1984-10-03,48.50,48.63,47.50,48.50,317300,11.19
1984-10-04,48.63,48.75,48.50,48.63,654500,11.22
1984-10-05,47.88,48.25,47.88,48.13,78500,11.11
1984-10-08,48.13,48.13,47.63,47.75,43900,11.02
1984-10-09,47.88,47.88,47.63,47.75,35800,11.02
1984-10-10,47.63,47.75,47.50,47.63,68400,10.99
1984-10-11,47.75,48.00,47.75,47.88,21400,11.05
1984-10-12,48.00,48.63,47.88,48.25,91000,11.13
1984-10-15,48.50,48.75,48.38,48.63,57400,11.22
1984-10-16,48.88,48.88,48.50,48.63,85400,11.22
1984-10-17,48.63,48.75,48.63,48.63,55000,11.22
1984-10-18,48.75,49.50,48.63,49.50,134600,11.42
1984-10-19,50.13,50.38,50.00,50.00,309800,11.54
1984-10-22,50.00,50.00,49.38,49.63,51600,11.45
1984-10-23,49.50,49.88,49.13,49.13,57600,11.34
1984-10-24,49.00,49.25,49.00,49.25,116400,11.36
1984-10-25,49.50,49.63,49.13,49.25,109900,11.36
1984-10-26,49.25,49.50,49.00,49.00,86600,11.31
1984-10-29,49.00,49.00,48.50,48.63,75800,11.22
1984-10-30,48.75,48.88,48.50,48.63,66200,11.22
1984-10-31,48.63,48.63,48.13,48.25,76100,11.13
1984-11-01,48.13,48.88,47.50,48.88,307900,11.28
1984-11-02,49.13,49.88,49.00,49.75,588700,11.48
1984-11-05,49.38,50.13,49.38,50.13,161500,11.57
1984-11-06,50.25,50.75,50.13,50.63,225100,11.68
1984-11-07,50.88,51.00,49.88,49.88,398200,11.51
1984-11-08,50.00,50.00,49.50,49.63,165400,11.45
1984-11-09,49.63,50.00,49.38,49.50,124300,11.42
1984-11-12,49.63,49.63,49.25,49.38,66200,11.39
1984-11-13,49.38,49.50,49.25,49.38,30700,11.39
1984-11-14,49.38,49.38,49.00,49.25,152400,11.36
1984-11-15,49.13,49.13,48.75,49.00,81800,11.31
1984-11-16,49.13,49.13,48.88,48.88,51600,11.28
1984-11-19,49.13,49.13,48.13,48.50,112600,11.19
1984-11-20,48.75,49.00,48.50,48.50,81400,11.19
1984-11-21,47.88,48.25,47.75,48.13,87400,11.11
1984-11-23,48.25,49.25,48.13,49.13,171600,11.34
1984-11-26,49.13,49.75,49.00,49.75,352100,11.48
1984-11-27,49.63,50.00,49.50,49.75,201600,11.48
1984-11-28,49.63,50.00,49.63,49.63,89500,11.45
1984-11-29,49.50,49.50,49.00,49.13,159400,11.34
1984-11-30,49.25,49.25,48.75,49.00,106800,11.31
1984-12-03,49.00,49.00,48.63,49.00,136300,11.31
1984-12-04,49.00,49.00,48.88,48.88,64300,11.28
1984-12-05,48.88,48.88,48.50,48.63,61200,11.22
1984-12-06,48.88,49.38,48.88,49.13,121900,11.34
1984-12-07,49.13,49.38,49.00,49.38,56200,11.39
1984-12-10,49.25,50.00,49.25,50.00,41800,11.54
1984-12-11,49.88,51.38,49.88,51.13,385900,11.80
1984-12-12,50.88,51.50,50.75,51.13,171100,11.80
